Year,Month,Model_Name,Variant_Code,Description,Monthly_Sales
2015,5,Model 1,V104,"Premium sedan equipped with a 1.5L petrol engine and CVT automatic transmission, sunroof, wireless charging, connected car technology, six airbags and refined ride comfort.",27
2015,5,Model 2,V201,"Compact SUV powered by a 1.5L turbo diesel engine with manual gearbox, hill hold assist, rear parking sensors, 17-inch alloy wheels and practical family-oriented features.",91
2015,5,Model 2,V202,"Compact diesel SUV with automatic transmission, premium interior, electronic stability control, rear camera, ABS, spacious cabin and comfortable long-distance performance.",52
2015,5,Model 2,V203,"Sporty compact SUV featuring a 1.5L turbo petrol engine, manual transmission, LED lighting, touchscreen navigation and dynamic styling for enthusiastic drivers.",64
2015,5,Model 2,V204,"Compact SUV with turbo petrol engine and automatic transmission, push-button start, automatic climate control, connected vehicle technology and premium comfort.",33
2015,5,Model 2,V205,"Hybrid compact SUV with 1.5L petrol hybrid engine, e-CVT transmission, regenerative braking, outstanding fuel economy, advanced safety systems and intelligent driving assistance.",53
2015,5,Model 2,V206,"All-electric compact SUV producing 150 kW, fast charging support, approximately 450 km driving range, regenerative braking and connected smart mobility features.",31
2015,5,Model 2,V207,"Premium AWD SUV with 2.0L turbo petrol engine, panoramic sunroof, leather upholstery, 360-degree camera, ADAS safety features and luxury interior.",63
2015,5,Model 2,V208,"Premium diesel SUV equipped with AWD, terrain response modes, seven-seat configuration, premium audio system and excellent highway capability.",73
2015,5,Model 2,V209,"Family SUV powered by a 2.0L turbo petrol engine, automatic transmission, digital instrument cluster, connected navigation and spacious seven-seat layout.",58
2015,5,Model 2,V210,"Hybrid family SUV offering advanced driver assistance, adaptive cruise control, premium comfort, efficient hybrid technology and smooth e-CVT transmission.",34
2015,5,Model 3,V301,"Executive sedan with 1.8L petrol engine, premium cabin, manual transmission, projector LED headlamps and elegant styling.",91
2015,5,Model 3,V302,"Executive automatic sedan with leather upholstery, dual-zone climate control, connected infotainment and refined ride quality.",52
2015,5,Model 3,V303,"Performance sedan featuring a 2.0L petrol engine, paddle shifters, sport suspension, 18-inch alloy wheels and responsive handling.",64
2015,5,Model 3,V304,"Luxury hybrid sedan with intelligent safety systems, premium interior, exceptional fuel efficiency and smooth e-CVT performance.",33
2015,5,Model 3,V305,"Performance edition sedan powered by a turbo petrol engine with premium infotainment, sport exhaust, wireless charging and athletic design.",53
2015,5,Model 3,V306,"Executive diesel sedan offering automatic transmission, spacious rear seating, superior ride comfort and long-distance efficiency.",31
2015,5,Model 3,V307,"Luxury petrol sedan with panoramic sunroof, premium leather interior, ten airbags, connected technology and refined driving dynamics.",63
2015,5,Model 3,V308,"Luxury hybrid sedan equipped with adaptive cruise control, ventilated seats, premium sound system and intelligent safety features.",73
2015,5,Model 3,V309,"Electric luxury sedan delivering approximately 550 km range, fast charging capability, connected vehicle platform and premium comfort.",58
2015,5,Model 3,V310,"High-performance dual-motor electric sedan capable of rapid acceleration, all-wheel drive, advanced driver assistance and cutting-edge technology.",34
2015,5,Model 4,V401,"Luxury seven-seat SUV with 2.5L petrol engine, AWD, panoramic sunroof, leather seats, premium infotainment and exceptional comfort.",21
2015,5,Model 4,V402,"Luxury diesel SUV with terrain management system, electronic parking brake, connected technology and spacious premium cabin.",41
2015,5,Model 4,V403,"Performance SUV featuring a 3.0L turbo petrol engine, adaptive suspension, AWD system and 20-inch alloy wheels.",50
2015,5,Model 4,V404,"Flagship luxury SUV powered by a 3.0L V6 petrol engine, ventilated seats, 360-degree camera, ADAS Level 2 and premium craftsmanship.",27
2015,5,Model 4,V405,"Flagship diesel SUV with air suspension, intelligent AWD, premium leather interior, advanced infotainment and executive comfort.",21
2015,5,Model 4,V406,"Dual-motor electric luxury SUV producing 300 kW, approximately 600 km driving range, ultra-fast charging, autonomous driving features and premium technology.",46
2015,5,Model 4,V407,"Performance electric SUV with dual-motor AWD, sports interior, rapid acceleration, intelligent safety systems and dynamic driving experience.",37
2015,5,Model 4,V408,"Flagship hybrid SUV powered by a 3.5L V6 hybrid engine, captain seats, panoramic glass roof, premium surround audio and comprehensive driver assistance.",32
2015,6,Model 1,V101,"Premium hatchback with a 1.2L petrol engine, 5-speed manual transmission, seating for five, dual airbags, ABS with EBD, LED DRLs, touchscreen infotainment, Apple CarPlay & Android Auto, excellent fuel efficiency and smooth city driving.",20
2015,6,Model 1,V102,"Premium hatchback powered by a 1.2L petrol engine with automatic transmission, reverse camera, cruise control, alloy wheels, automatic climate control and advanced infotainment for comfortable urban travel.",16
2015,6,Model 1,V103,"Mid-size sedan featuring a 1.5L petrol engine, manual transmission, spacious cabin, LED headlamps, rear AC vents, smart key access and balanced performance for everyday driving.",9
2015,6,Model 1,V104,"Premium sedan equipped with a 1.5L petrol engine and CVT automatic transmission, sunroof, wireless charging, connected car technology, six airbags and refined ride comfort.",11
2015,6,Model 2,V201,"Compact SUV powered by a 1.5L turbo diesel engine with manual gearbox, hill hold assist, rear parking sensors, 17-inch alloy wheels and practical family-oriented features.",34
2015,6,Model 2,V202,"Compact diesel SUV with automatic transmission, premium interior, electronic stability control, rear camera, ABS, spacious cabin and comfortable long-distance performance.",44
2015,6,Model 2,V203,"Sporty compact SUV featuring a 1.5L turbo petrol engine, manual transmission, LED lighting, touchscreen navigation and dynamic styling for enthusiastic drivers.",73
2015,6,Model 2,V204,"Compact SUV with turbo petrol engine and automatic transmission, push-button start, automatic climate control, connected vehicle technology and premium comfort.",71
2015,6,Model 2,V205,"Hybrid compact SUV with 1.5L petrol hybrid engine, e-CVT transmission, regenerative braking, outstanding fuel economy, advanced safety systems and intelligent driving assistance.",46
2015,6,Model 2,V206,"All-electric compact SUV producing 150 kW, fast charging support, approximately 450 km driving range, regenerative braking and connected smart mobility features.",75
2015,6,Model 2,V207,"Premium AWD SUV with 2.0L turbo petrol engine, panoramic sunroof, leather upholstery, 360-degree camera, ADAS safety features and luxury interior.",61
2015,6,Model 2,V208,"Premium diesel SUV equipped with AWD, terrain response modes, seven-seat configuration, premium audio system and excellent highway capability.",75
2015,6,Model 2,V209,"Family SUV powered by a 2.0L turbo petrol engine, automatic transmission, digital instrument cluster, connected navigation and spacious seven-seat layout.",58
2015,6,Model 2,V210,"Hybrid family SUV offering advanced driver assistance, adaptive cruise control, premium comfort, efficient hybrid technology and smooth e-CVT transmission.",55
2015,6,Model 3,V301,"Executive sedan with 1.8L petrol engine, premium cabin, manual transmission, projector LED headlamps and elegant styling.",34
2015,6,Model 3,V302,"Executive automatic sedan with leather upholstery, dual-zone climate control, connected infotainment and refined ride quality.",44
2015,6,Model 3,V303,"Performance sedan featuring a 2.0L petrol engine, paddle shifters, sport suspension, 18-inch alloy wheels and responsive handling.",73
2015,6,Model 3,V304,"Luxury hybrid sedan with intelligent safety systems, premium interior, exceptional fuel efficiency and smooth e-CVT performance.",71
2015,6,Model 3,V305,"Performance edition sedan powered by a turbo petrol engine with premium infotainment, sport exhaust, wireless charging and athletic design.",46
2015,6,Model 3,V306,"Executive diesel sedan offering automatic transmission, spacious rear seating, superior ride comfort and long-distance efficiency.",75
2015,6,Model 3,V307,"Luxury petrol sedan with panoramic sunroof, premium leather interior, ten airbags, connected technology and refined driving dynamics.",61
2015,6,Model 3,V308,"Luxury hybrid sedan equipped with adaptive cruise control, ventilated seats, premium sound system and intelligent safety features.",75
2015,6,Model 3,V309,"Electric luxury sedan delivering approximately 550 km range, fast charging capability, connected vehicle platform and premium comfort.",58
2015,6,Model 3,V310,"High-performance dual-motor electric sedan capable of rapid acceleration, all-wheel drive, advanced driver assistance and cutting-edge technology.",55
2015,6,Model 4,V401,"Luxury seven-seat SUV with 2.5L petrol engine, AWD, panoramic sunroof, leather seats, premium infotainment and exceptional comfort.",17
2015,6,Model 4,V402,"Luxury diesel SUV with terrain management system, electronic parking brake, connected technology and spacious premium cabin.",13
2015,6,Model 4,V403,"Performance SUV featuring a 3.0L turbo petrol engine, adaptive suspension, AWD system and 20-inch alloy wheels.",31
2015,6,Model 4,V404,"Flagship luxury SUV powered by a 3.0L V6 petrol engine, ventilated seats, 360-degree camera, ADAS Level 2 and premium craftsmanship.",30
2015,6,Model 4,V405,"Flagship diesel SUV with air suspension, intelligent AWD, premium leather interior, advanced infotainment and executive comfort.",11
2015,6,Model 4,V406,"Dual-motor electric luxury SUV producing 300 kW, approximately 600 km driving range, ultra-fast charging, autonomous driving features and premium technology.",42
2015,6,Model 4,V407,"Performance electric SUV with dual-motor AWD, sports interior, rapid acceleration, intelligent safety systems and dynamic driving experience.",9
2015,6,Model 4,V408,"Flagship hybrid SUV powered by a 3.5L V6 hybrid engine, captain seats, panoramic glass roof, premium surround audio and comprehensive driver assistance.",12
2015,7,Model 1,V101,"Premium hatchback with a 1.2L petrol engine, 5-speed manual transmission, seating for five, dual airbags, ABS with EBD, LED DRLs, touchscreen infotainment, Apple CarPlay & Android Auto, excellent fuel efficiency and smooth city driving.",7
